,Country,Continent
123,LITHUANIA,EUROPE
124,LUXEMBOURG,EUROPE
125,MACEDONIA,EUROPE
28,MADAGASCAR,AFRICA
29,MALAWI,AFRICA
77,MALAYSIA,ASIA
78,MALDIVES,ASIA
30,MALI,AFRICA
126,MALTA,EUROPE
171,MARSHALL ISLANDS,OCEANIA
31,MAURITANIA,AFRICA
32,MAURITIUS,AFRICA
160,MEXICO,NORTH AMERICA
172,MICRONESIA,OCEANIA
127,MOLDOVA,EUROPE
128,MONACO,EUROPE
79,MONGOLIA,ASIA
129,MONTENEGRO,EUROPE
33,MOROCCO,AFRICA
34,MOZAMBIQUE,AFRICA
35,NAMIBIA,AFRICA
173,NAURU,OCEANIA
80,NEPAL,ASIA
130,NETHERLANDS,EUROPE
174,NEW ZEALAND,OCEANIA
161,NICARAGUA,NORTH AMERICA
36,NIGER,AFRICA
37,NIGERIA,AFRICA
131,NORWAY,EUROPE
81,OMAN,ASIA
82,PAKISTAN,ASIA
175,PALAU,OCEANIA
162,PANAMA,NORTH AMERICA
176,PAPUA NEW GUINEA,OCEANIA
189,PARAGUAY,SOUTH AMERICA
190,PERU,SOUTH AMERICA
83,PHILIPPINES,ASIA
132,POLAND,EUROPE
133,PORTUGAL,EUROPE
84,QATAR,ASIA
134,ROMANIA,EUROPE
85,RUSSIAN FEDERATION,ASIA
38,RWANDA,AFRICA
163,SAINT KITTS AND NEVIS,NORTH AMERICA
164,SAINT LUCIA,NORTH AMERICA
165,SAINT VINCENT AND THE GRENADINES,NORTH AMERICA
177,SAMOA,OCEANIA
135,SAN MARINO,EUROPE
39,SAO TOME AND PRINCIPE,AFRICA
86,SAUDI ARABIA,ASIA
40,SENEGAL,AFRICA
136,SERBIA,EUROPE
41,SEYCHELLES,AFRICA
42,SIERRA LEONE,AFRICA
87,SINGAPORE,ASIA
137,SLOVAKIA,EUROPE
138,SLOVENIA,EUROPE
178,SOLOMON ISLANDS,OCEANIA
43,SOMALIA,AFRICA
44,SOUTH AFRICA,AFRICA
45,SOUTH SUDAN,AFRICA
139,SPAIN,EUROPE
88,SRI LANKA,ASIA
46,SUDAN,AFRICA
191,SURINAME,SOUTH AMERICA
47,SWAZILAND,AFRICA
140,SWEDEN,EUROPE
141,SWITZERLAND,EUROPE
89,SYRIA,ASIA
90,TAJIKISTAN,ASIA
48,TANZANIA,AFRICA
91,THAILAND,ASIA
49,TOGO,AFRICA
179,TONGA,OCEANIA
166,TRINIDAD AND TOBAGO,NORTH AMERICA
50,TUNISIA,AFRICA
92,TURKEY,ASIA
93,TURKMENISTAN,ASIA
180,TUVALU,OCEANIA
51,UGANDA,AFRICA
142,UKRAINE,EUROPE
94,UNITED ARAB EMIRATES,ASIA
143,UNITED KINGDOM,EUROPE
167,UNITED STATES,NORTH AMERICA
192,URUGUAY,SOUTH AMERICA
95,UZBEKISTAN,ASIA
181,VANUATU,OCEANIA
144,VATICAN CITY,EUROPE
193,VENEZUELA,SOUTH AMERICA
96,VIETNAM,ASIA
97,YEMEN,ASIA
52,ZAMBIA,AFRICA
53,ZIMBABWE,AFRICA
